ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type,Cycles [cycle]
228,6.06,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.73,12.30,67.84,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,104"
229,5.78,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.71,12.21,67.05,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,321"
230,6.17,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.75,12.29,67.34,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,274"
231,5.88,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.73,12.36,66.43,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,515"
232,5.24,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.48,0.65,12.23,65.84,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,610"
233,6.17,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.75,12.04,67.60,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,196"
234,5.96,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.73,12.17,66.90,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,377"
235,5.95,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.58,0.75,12.13,65.52,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,775"
236,5.52,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.48,0.69,12.32,65.97,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,650"
237,5.90,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.72,12.31,66.90,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,407"
238,5.95,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.51,0.74,12.36,65.83,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,601"
239,6.58,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.80,12.32,67.21,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,234"
240,5.19,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.64,12.23,66.63,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,461"
241,6.15,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.75,12.09,67.60,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,150"
242,5.09,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.62,12.26,68.00,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,052"
243,7.26,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.48,0.91,12.35,65.92,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,614"
244,7.27,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.90,12.36,66.66,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,415"
245,5.86,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.73,12.10,66.59,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,494"
246,6.47,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.79,12.29,67.21,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,284"
247,6.35,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.78,12.18,67.21,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,283"
248,6.31,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.78,12.27,66.90,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,391"
249,6.09,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.67,0.77,12.26,65.01,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,893"
250,5.64,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.69,12.33,66.66,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,404"
251,6.26,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.77,12.27,66.90,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,360"
252,6.14,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.75,12.22,67.37,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,213"
253,6.39,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.78,12.29,67.42,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,248"
254,5.57,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.51,0.70,12.13,65.75,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,678"
255,5.79,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.72,12.16,66.61,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,428"
256,5.05,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.62,12.27,66.82,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,409"
257,6.10,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.75,12.34,66.59,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,427"
258,5.44,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.77,0.69,12.28,64.64,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"19,026"
259,6.09,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.42,0.76,12.19,66.28,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,551"
260,6.46,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.79,11.91,67.55,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,214"
261,6.48,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.80,12.21,66.66,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,429"
262,5.86,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.72,12.33,66.89,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,427"
263,5.66,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.70,12.26,66.59,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,496"
264,5.90,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.73,12.16,66.66,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,445"
265,5.52,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.68,12.24,67.13,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,331"
266,6.39,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.79,12.20,66.85,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,413"
267,5.11,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.62,12.19,67.68,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,144"
268,6.16,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.10,0.74,12.08,67.84,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,128"
269,5.59,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.03,0.67,11.89,68.24,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"17,994"
270,5.44,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.67,12.30,67.21,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,291"
271,6.31,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.77,12.22,67.52,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,193"
272,5.87,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.72,12.25,67.76,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,137"
273,6.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.73,12.23,67.52,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,136"
274,6.59,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.81,11.91,66.82,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,398"
275,5.32,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.65,12.26,67.21,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,316"
276,5.46,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.67,12.24,67.39,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,167"
277,6.29,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.42,0.78,12.23,66.28,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,479"
278,5.70,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.69,12.39,67.54,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,175"
279,6.14,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.75,12.27,67.36,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,266"
280,6.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.74,12.21,66.74,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,427"
281,6.81,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.83,12.22,67.52,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,190"
282,5.59,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.69,12.27,67.13,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,292"
283,6.14,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.76,12.18,66.82,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,385"
284,6.71,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.82,12.29,67.21,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,302"
285,6.21,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.76,12.18,67.29,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,272"
286,6.44,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.79,12.32,66.82,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,387"
287,5.50,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.67,12.17,67.09,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,347"
288,6.29,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.78,12.29,66.59,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,478"
289,6.29,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.77,12.15,67.13,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,336"
290,5.77,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.45,0.72,12.29,66.13,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,606"
291,5.25,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.64,12.18,66.89,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,381"
292,5.38,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.66,12.23,67.29,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,285"
293,6.12,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.74,12.29,67.52,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,113"
294,5.62,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.69,12.26,66.82,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,377"
295,6.07,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.75,12.28,66.59,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,466"
296,6.12,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.54,0.77,12.19,65.67,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,688"
297,5.63,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.69,12.24,67.55,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,235"
298,6.73,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.83,12.24,66.59,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,474"
299,6.51,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.79,12.25,67.60,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,199"
300,5.61,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.69,12.23,67.21,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,324"
301,5.69,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.70,12.07,67.05,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,334"
302,5.98,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.73,11.70,67.36,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,273"
303,6.15,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.76,12.18,66.51,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,427"
304,6.13,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.75,12.30,67.68,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,138"
305,6.14,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.75,12.25,66.90,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,299"
306,5.89,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.42,0.73,12.25,66.28,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,497"
307,5.92,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.10,0.72,12.21,68.08,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,077"
308,5.03,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.61,12.21,67.29,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,228"
309,5.49,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.48,0.69,12.12,65.97,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,638"
310,6.22,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.45,0.77,12.27,66.28,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,558"
311,5.94,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.45,0.74,12.27,66.16,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,558"
312,5.16,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.63,12.00,67.84,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,118"
313,5.72,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.70,12.08,67.21,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,297"
314,6.72,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.82,12.24,67.05,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,296"
315,6.29,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.48,0.79,12.17,65.97,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,651"
316,6.58,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.06,0.79,12.19,68.16,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,047"
317,5.32,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.65,12.30,67.52,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,170"
318,5.41,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.66,12.23,67.76,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,103"
319,6.45,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.80,12.15,66.59,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,407"
320,6.74,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.84,12.14,66.59,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,435"
321,5.12,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.63,11.94,67.05,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,301"
322,5.84,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.72,12.05,66.82,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,379"
323,6.90,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.67,0.87,12.22,64.93,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,900"
324,6.71,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.83,11.94,66.35,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,499"
325,6.36,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.64,0.80,12.26,65.30,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,836"
326,6.22,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.76,12.33,67.45,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,258"
327,6.27,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.76,12.26,67.84,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,055"
328,6.28,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.77,12.20,67.29,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,234"
329,5.40,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.51,0.68,12.30,65.90,40,"  256,    1,    1","  256,    1,    1",Kernel: SIMT,"18,605"
330,5.18,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.64,12.18,67.13,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,284"
331,6.45,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.79,12.16,67.72,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,177"
332,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.00,11.96,66.66,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,427"
333,5.15,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.63,12.21,67.13,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,299"
334,5.93,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.72,12.06,67.76,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,185"
335,5.68,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.70,12.17,67.05,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,357"
336,6.69,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.83,12.07,66.43,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,528"
337,5.25,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.64,12.02,67.21,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,249"
338,5.50,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.10,0.67,12.23,68.08,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,062"
339,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.00,12.17,67.29,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,244"
340,5.41,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.66,12.32,67.21,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,289"
341,6.18,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.75,12.13,67.63,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,165"
342,6.66,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.82,12.34,67.13,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,264"
343,5.69,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.69,12.30,67.76,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,127"
344,5.40,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.66,12.19,67.21,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,269"
345,6.67,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.42,0.83,12.15,66.13,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,570"
346,5.34,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.65,12.34,67.21,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,255"
347,5.58,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.68,12.35,67.36,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,225"
348,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.00,12.39,66.66,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,420"
349,5.07,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.62,12.30,66.97,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,336"
350,5.83,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.71,12.17,67.21,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,272"
351,5.40,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.42,0.67,12.31,66.43,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,514"
352,6.51,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.79,12.21,67.52,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,182"
353,5.30,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.65,12.33,67.21,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,271"
354,6.40,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.78,12.34,67.45,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,206"
355,6.29,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.78,11.79,66.51,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,472"
356,5.45,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.67,12.13,66.89,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,359"
357,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.00,12.32,67.05,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,309"
358,5.13,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.63,12.18,67.45,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,269"
359,6.29,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.78,12.13,66.59,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,413"
360,5.36,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.65,12.37,67.29,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,187"
361,5.53,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.67,12.40,67.84,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,091"
362,5.74,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.70,12.06,67.21,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,257"
363,5.74,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.70,11.97,67.60,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,145"
364,5.75,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.16,0.70,12.27,67.92,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,166"
365,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.00,12.32,66.66,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,422"
366,5.82,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.71,12.27,67.92,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,070"
367,6.25,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.13,0.76,12.05,67.84,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,095"
368,5.02,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.62,12.28,67.13,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,287"
369,6.32,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.29,0.78,12.30,66.89,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,359"
370,5.99,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.73,12.23,67.29,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,278"
371,5.54,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.68,12.30,66.97,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,312"
372,6.09,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.75,12.31,66.97,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,281"
373,6.39,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.78,12.29,67.13,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,300"
374,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.45,0.00,12.27,66.28,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,577"
375,5.33,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.66,12.29,66.74,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,388"
376,6.82,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.83,12.33,67.44,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,193"
377,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.26,0.00,12.28,67.05,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,295"
378,5.41,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.38,0.67,11.90,66.59,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,481"
379,6.27,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.77,12.44,67.03,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,307"
380,0.00,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.19,0.00,12.20,67.52,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,217"
381,6.52,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.32,0.80,12.13,66.89,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,361"
382,5.55,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.42,0.69,12.23,66.45,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,521"
383,6.21,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.35,0.77,12.34,66.66,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,417"
384,5.44,spmv_csr_row_per_thread,spmv_csr_row_per_thread..,12.22,0.67,12.29,67.36,40,"  128,    1,    1","  512,    1,    1",Kernel: SIMT,"18,246"
