gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,avg_spmv_ms,spmv_gbps,bw_efficiency_pct
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,128,0.186,491.23,393.62
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,256,0.1826,500.3,400.88
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,row_per_thread,512,0.1817,502.7,402.8
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,64,0.6022,151.7,121.55
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,128,0.6001,152.21,121.96
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,256,0.6025,151.61,121.49
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,warp_per_row,512,0.5973,152.94,122.55
NVIDIA GeForce RTX 4090 Laptop GPU,3D,96,884736,6137856,cusparse,0,0.1626,561.73,450.1
[3D N=128] 2097152 x 2097152, nnz = 14581760, avg nnz/row = 6.95, memory ~ 206.88 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,64,0.4369,496.51,397.84
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,128,0.429,505.6,405.13
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,256,0.4234,512.35,410.53
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,row_per_thread,512,0.4222,513.74,411.65
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,64,1.4428,150.35,120.48
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,128,1.4262,152.1,121.87
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,256,1.4424,150.39,120.51
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,warp_per_row,512,1.4234,152.4,122.12
NVIDIA GeForce RTX 4090 Laptop GPU,3D,128,2097152,14581760,cusparse,0,0.3722,582.77,466.96
